Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah,Vol.,Perubahan%
11/13/2017,91400496,"84,598,400","94,800,000","82,732,800","1,27K",8.81%
11/14/2017,92449904,"91,400,896","93,300,000","91,100,000","0,50K",1.15%
11/15/2017,99141600,"92,400,600","99,999,200","92,383,296","1,20K",7.24%
11/16/2017,105556496,"99,141,600","105,765,200","98,501,000","1,41K",6.47%
11/17/2017,103987504,"105,358,304","108,000,000","101,800,000","1,42K",-1.49%
11/18/2017,104009904,"103,987,504","104,370,000","99,069,400","0,65K",0.02%
11/19/2017,105799904,"104,009,904","106,092,304","102,500,000","0,49K",1.72%
11/20/2017,108400096,"106,000,000","108,998,000","105,334,704","0,77K",2.46%
11/21/2017,107649904,"108,400,096","108,998,496","104,800,000","0,83K",-0.69%
11/22/2017,109000704,"107,649,904","110,000,000","107,536,000","0,66K",1.25%
11/23/2017,108750096,"109,000,704","109,599,000","108,000,000","0,79K",-0.23%
11/24/2017,111199904,"108,750,000","115,610,496","107,875,000","1,19K",2.25%
11/25/2017,118000000,"111,200,000","118,000,000","111,050,000","0,63K",6.12%
11/26/2017,128800000,"118,000,000","129,699,000","117,999,904","0,83K",9.15%
11/27/2017,134849904,"128,889,904","134,990,000","128,598,800","0,92K",4.70%
11/28/2017,144939504,"134,849,904","145,401,104","134,849,904","0,97K",7.48%
11/29/2017,148900000,"144,939,904","163,770,096","144,786,096","2,14K",2.73%
11/30/2017,150999104,"149,988,000","159,800,000","138,100,800","1,59K",1.41%
12/1/2017,156100400,"150,999,904","156,499,504","142,599,104","0,75K",3.38%
12/2/2017,157800192,"156,104,000","159,400,000","155,500,000","0,65K",1.09%
12/3/2017,160900304,"157,800,192","163,000,000","155,517,296","0,80K",1.96%
12/4/2017,162301408,"160,997,792","162,403,296","159,000,800","0,52K",0.87%
12/5/2017,169300000,"162,500,000","169,800,000","161,704,992","0,82K",4.31%
12/6/2017,218681104,"169,300,000","219,890,592","169,299,808","1,27K",29.17%
12/7/2017,292000000,"218,752,304","295,900,000","209,000,000","2,19K",33.53%
12/8/2017,254700704,"291,999,904","294,999,296","230,000,000","1,98K",-12.77%
12/9/2017,238210000,"254,700,000","265,000,000","210,000,608","1,12K",-6.47%
12/10/2017,242260400,"238,805,904","260,739,008","201,001,792","1,88K",1.70%
12/11/2017,250561296,"242,750,000","258,900,000","241,596,304","0,73K",3.43%
12/12/2017,246999008,"250,560,992","254,889,696","245,143,696","0,57K",-1.42%
12/13/2017,240804992,"247,000,000","250,100,000","235,304,000","0,65K",-2.51%
12/14/2017,236007008,"240,802,000","244,836,000","235,000,000","0,77K",-1.99%
12/15/2017,249100000,"236,007,008","256,300,000","235,352,992","1,09K",5.55%
12/16/2017,266800992,"248,152,992","269,500,000","246,908,000","0,71K",7.11%
12/17/2017,263434000,"266,800,992","269,999,008","259,000,000","0,63K",-1.26%
12/18/2017,259800992,"263,432,000","263,760,992","255,000,992","0,59K",-1.38%
12/19/2017,251999008,"259,800,000","260,998,000","250,188,992","0,64K",-3.00%
12/20/2017,241062000,"251,999,008","259,259,008","235,000,000","0,97K",-4.34%
12/21/2017,244499008,"241,496,992","249,999,008","238,011,008","0,76K",1.43%
12/22/2017,224050000,"244,004,992","244,872,992","205,999,008","1,43K",-8.36%
12/23/2017,236695008,"224,050,000","242,000,000","223,242,000","0,74K",5.64%
12/24/2017,234499008,"236,695,008","239,400,000","230,000,000","0,52K",-0.93%
